时间,店铺名称,商品名称,价格,屏幕尺寸,分辨率,链接
2020-12-11 16:31:43.750038,TCL电视京东自营旗舰店,TCL65V8,3699.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100006429493.html
2020-12-11 16:31:45.751986,小米京东自营旗舰店,小米L60M5-4A,2399.0,屏幕尺寸：58-60英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100012354238.html
2020-12-11 16:31:47.843854,小米京东自营旗舰店,小米L70M5-4A,3599.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008268466.html
2020-12-11 16:31:50.259609,小米京东自营旗舰店,小米L55R6-A,2099.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008697687.html
2020-12-11 16:31:52.539223,SONY京东自营官方旗舰店,索尼KD-55X9100H,4699.0,货号：KD-55X9100H,能效等级：三级能效,https://item.jd.com/100007346955.html
2020-12-11 16:31:54.368765,荣耀京东自营旗舰店,华为LOK-350,2529.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100013116298.html
2020-12-11 16:31:56.557109,TCL电视京东自营旗舰店,TCL55V8,2699.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100006429491.html
2020-12-11 16:31:58.614788,海信京东自营旗舰店,海信60E3F,2299.0,屏幕尺寸：58-60英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007300763.html
2020-12-11 16:32:00.475940,TCL电视京东自营旗舰店,TCL55L8,1999.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007528447.html
2020-12-11 16:32:02.476356,TCL电视京东自营旗舰店,TCL50L2,1699.0,屏幕尺寸：48-50英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/8812627.html
2020-12-11 16:32:04.681432,海信京东自营旗舰店,海信75E3F,4599.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008483033.html
2020-12-11 16:32:06.556341,VIDAA京东自营旗舰店,VIDAAHZ50V1A,1999.0,屏幕尺寸：48-50英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100005909914.html
2020-12-11 16:32:08.604050,长虹京东自营旗舰店,长虹65D4PS,2899.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100012290790.html
2020-12-11 16:32:10.577541,小米京东自营旗舰店,小米L65M5-EA,3099.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008829953.html
2020-12-11 16:32:12.999963,小米京东自营旗舰店,小米L50M5-RK,2099.0,屏幕尺寸：48-50英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100013452650.html
2020-12-11 16:32:15.092406,小米京东自营旗舰店,小米L55M5-EX,2399.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008828920.html
2020-12-11 16:32:17.207963,海信京东自营旗舰店,海信HZ43E3D,1699.0,屏幕尺寸：39-45英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008970470.html
2020-12-11 16:32:19.162800,松下电视京东自营旗舰店,松下TH-55HX560C,2469.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100012048702.html
2020-12-11 16:32:21.044608,三星家电京东自营旗舰店,三星QA65Q60TAJXXZ,7999.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008697667.html
2020-12-11 16:32:23.055032,长虹京东自营旗舰店,长虹55D5P,2399.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008216886.html
2020-12-11 16:32:24.918065,华为京东自营官方旗舰店,华为HEGE-550B,3799.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007130607.html
2020-12-11 16:32:27.373540,海信京东自营旗舰店,海信65E3F,2999.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007826441.html
2020-12-11 16:32:29.583627,小米京东自营旗舰店,小米L75M5-4S,4999.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100001653487.html
2020-12-11 16:32:32.138791,小米京东自营旗舰店,小米L43M5-ES,1899.0,屏幕尺寸：39-45英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100009759450.html
2020-12-11 16:32:34.311865,长虹京东自营旗舰店,长虹75D4PS,4799.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100012761116.html
2020-12-11 16:32:36.297362,小米京东自营旗舰店,小米L65M5-EC,3099.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008828928.html
2020-12-11 16:32:38.665085,创维电视京东自营旗舰店,创维55V40,2599.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100013180964.html
2020-12-11 16:32:40.680687,海信京东自营旗舰店,海信55E3F-PRO,2699.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008483071.html
2020-12-11 16:32:42.931406,长虹京东自营旗舰店,长虹55D4P,2099.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007154258.html
2020-12-11 16:32:44.842349,康佳电视京东自营旗舰店,康佳55D6S,2299.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100011990828.html
2020-12-11 16:32:46.804059,TCL电视京东自营旗舰店,TCL65V8,3699.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100006429493.html
2020-12-11 16:32:49.019722,小米京东自营旗舰店,小米L60M5-4A,2399.0,屏幕尺寸：58-60英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100012354238.html
2020-12-11 16:32:51.161203,小米京东自营旗舰店,小米L70M5-4A,3599.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008268466.html
2020-12-11 16:32:53.598040,小米京东自营旗舰店,小米L55R6-A,2099.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008697687.html
2020-12-11 16:32:55.855196,SONY京东自营官方旗舰店,索尼KD-55X9100H,4699.0,货号：KD-55X9100H,能效等级：三级能效,https://item.jd.com/100007346955.html
2020-12-11 16:32:57.924492,荣耀京东自营旗舰店,华为LOK-350,2529.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100013116298.html
2020-12-11 16:33:00.144577,TCL电视京东自营旗舰店,TCL55V8,2699.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100006429491.html
2020-12-11 16:33:02.220641,海信京东自营旗舰店,海信60E3F,2299.0,屏幕尺寸：58-60英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007300763.html
2020-12-11 16:33:04.160462,TCL电视京东自营旗舰店,TCL55L8,1999.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007528447.html
2020-12-11 16:33:06.053635,TCL电视京东自营旗舰店,TCL50L2,1699.0,屏幕尺寸：48-50英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/8812627.html
2020-12-11 16:33:08.075959,海信京东自营旗舰店,海信75E3F,4599.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008483033.html
2020-12-11 16:33:10.002112,VIDAA京东自营旗舰店,VIDAAHZ50V1A,1999.0,屏幕尺寸：48-50英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100005909914.html
2020-12-11 16:33:11.894882,长虹京东自营旗舰店,长虹65D4PS,2899.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100012290790.html
2020-12-11 16:33:13.749943,小米京东自营旗舰店,小米L65M5-EA,3099.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008829953.html
2020-12-11 16:33:15.983907,小米京东自营旗舰店,小米L50M5-RK,2099.0,屏幕尺寸：48-50英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100013452650.html
2020-12-11 16:33:18.255174,小米京东自营旗舰店,小米L55M5-EX,2399.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008828920.html
2020-12-11 16:33:20.414085,海信京东自营旗舰店,海信HZ43E3D,1699.0,屏幕尺寸：39-45英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008970470.html
2020-12-11 16:33:22.646583,松下电视京东自营旗舰店,松下TH-55HX560C,2469.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100012048702.html
2020-12-11 16:33:24.664730,三星家电京东自营旗舰店,三星QA65Q60TAJXXZ,7999.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008697667.html
2020-12-11 16:33:26.661647,长虹京东自营旗舰店,长虹55D5P,2399.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008216886.html
2020-12-11 16:33:28.657353,华为京东自营官方旗舰店,华为HEGE-550B,3799.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007130607.html
2020-12-11 16:33:30.754942,海信京东自营旗舰店,海信65E3F,2999.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007826441.html
2020-12-11 16:33:32.752345,小米京东自营旗舰店,小米L75M5-4S,4999.0,屏幕尺寸：70-75英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100001653487.html
2020-12-11 16:33:34.914179,小米京东自营旗舰店,小米L43M5-ES,1899.0,屏幕尺寸：39-45英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100009759450.html
2020-12-11 16:33:36.979039,海尔京东自营旗舰店,海尔LU58J51,3599.0,屏幕尺寸：58-60英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008793532.html
2020-12-11 16:33:39.081502,小米京东自营旗舰店,小米L65M5-EC,3099.0,屏幕尺寸：65英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008828928.html
2020-12-11 16:33:41.205943,创维电视京东自营旗舰店,创维55V40,2599.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100013180964.html
2020-12-11 16:33:42.983339,海信京东自营旗舰店,海信55E3F-PRO,2699.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100008483071.html
2020-12-11 16:33:44.860948,长虹京东自营旗舰店,长虹55D4P,2099.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100007154258.html
2020-12-11 16:33:46.738637,康佳电视京东自营旗舰店,康佳55D6S,2299.0,屏幕尺寸：55英寸,分辨率：4k超高清（3840×2160）,https://item.jd.com/100011990828.html
